"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"G((F(a)) & (F(G(b))))","ltl3tela_alt","ok",0,0.00478895,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1] 0 [!0&!1] 0 {0} [0&1] 0 {1} [0&!1] 0 {0 1} --END--"
"G((F(a)) & (F(G(b))))","ltl3tela_d","ok",0,0.00777337,1,3,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&1] 0 [!1] 0 {0} [0&1] 0 {1} --END--"
"G((F(a)) & (F(G(b))))","ltl2tgba_d","ok",0,0.00489106,1,3,4,2,1,0,0,1,"HOA: v1 name: ""G(Fa & FGb)"" States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&1] 0 [!1] 0 {0} [0&1] 0 {1} --END--"
"G((F(a)) & (F(G(b))))","delag","ok",0,0.36752,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 0 {0} [0&!1] 0 {0 1} [!0&1] 0 [0&1] 0 {1} --END--"
"G((F(a)) & (F(G(b))))","rabinizer4","ok",0,0.510662,1,3,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&1] 0 {1} [!1] 0 {0} [!0&1] 0 --END--"
"G((F(a)) & (F(b)) & (F(G(c))))","ltl3tela_alt","ok",0,0.00471249,1,8,8,3,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Rabin 1 2 Acceptance: 3 Fin(0) & (Inf(1)&Inf(2)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1&2] 0 [!0&!1&!2] 0 {0} [0&!1&2] 0 {1} [0&!1&!2] 0 {0 1} [!0&1&2] 0 {2} [!0&1&!2] 0 {0 2} [0&1&2] 0 {1 2} [0&1&!2] 0 {0 1 2} --END--"
"G((F(a)) & (F(b)) & (F(G(c))))","ltl3tela_d","ok",0,0.0149318,1,8,8,3,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Rabin 1 2 Acceptance: 3 Fin(0) & (Inf(1)&Inf(2)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1&2] 0 [!0&!1&!2] 0 {0} [0&!1&2] 0 {1} [0&!1&!2] 0 {0 1} [!0&1&2] 0 {2} [!0&1&!2] 0 {0 2} [0&1&2] 0 {1 2} [0&1&!2] 0 {0 1 2} --END--"
"G((F(a)) & (F(b)) & (F(G(c))))","ltl2tgba_d","ok",0,0.00568725,1,8,8,3,1,0,0,1,"HOA: v1 name: ""G(Fa & Fb & FGc)"" States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Rabin 1 2 Acceptance: 3 Fin(0) & (Inf(1)&Inf(2)) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1&2] 0 [!0&!1&!2] 0 {0} [0&!1&2] 0 {1} [0&!1&!2] 0 {0 1} [!0&1&2] 0 {2} [!0&1&!2] 0 {0 2} [0&1&2] 0 {1 2} [0&1&!2] 0 {0 1 2} --END--"
"G((F(a)) & (F(b)) & (F(G(c))))","delag","ok",0,0.390235,1,8,8,3,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 3 (Inf(0)&Inf(2)) & Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1&!2] 0 {1} [0&!1&!2] 0 {0 1} [!0&1&!2] 0 {1 2} [0&1&!2] 0 {0 1 2} [!0&!1&2] 0 [0&!1&2] 0 {0} [!0&1&2] 0 {2} [0&1&2] 0 {0 2} --END--"
"G((F(a)) & (F(b)) & (F(G(c))))","rabinizer4","ok",0,0.571039,1,5,8,3,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Rabin 1 2 Acceptance: 3 Fin(0) & (Inf(1)&Inf(2)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!2] 0 {0} [!0&!1&2] 0 [!0&1&2] 0 {2} [0&!1&2] 0 {1} [0&1&2] 0 {1 2} --END--"
"F(G(a))","ltl3tela_alt","ok",0,0.00432254,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl3tela_d","ok",0,0.00361404,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl2tgba_d","ok",0,0.0039169,1,2,2,1,1,0,0,1,"HOA: v1 name: ""FGa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","delag","ok",0,0.377641,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 0 {0} [0] 0 --END--"
"F(G(a))","rabinizer4","ok",0,0.51967,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 0 {0} [0] 0 --END--"
"F((G(a)) | (G(!(a))))","ltl3tela_alt","ok",0,0.00930793,1,2,2,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc colored complete deterministic --BODY-- State: 0 [!0] 0 {0} [0] 0 {1} --END--"
"F((G(a)) | (G(!(a))))","ltl3tela_d","ok",0,0.0100193,1,2,2,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc colored complete deterministic --BODY-- State: 0 [!0] 0 {0} [0] 0 {1} --END--"
"F((G(a)) | (G(!(a))))","ltl2tgba_d","ok",0,0.0064815,1,2,2,2,1,0,0,1,"HOA: v1 name: ""F(Ga | G!a)"" States: 1 Start: 0 AP: 1 ""a"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc colored complete deterministic stutter-invariant --BODY-- State: 0 [!0] 0 {0} [0] 0 {1} --END--"
"F((G(a)) | (G(!(a))))","delag","ok",0,0.471735,1,2,2,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc colored complete deterministic --BODY-- State: 0 [!0] 0 {0} [0] 0 {1} --END--"
"F((G(a)) | (G(!(a))))","rabinizer4","ok",0,0.664308,2,4,4,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 1 {0} [0] 0 State: 1 [0] 0 {0} [!0] 1 --END--"
"G((a) & (F(b)) & (F(c)) & (F(d)))","ltl3tela_alt","ok",0,0.00516367,1,8,8,3,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: generalized-Buchi 3 Acceptance: 3 Inf(0)&Inf(1)&Inf(2) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&!1&!2&!3] 0 [0&!1&!2&3] 0 {2} [0&!1&2&!3] 0 {1} [0&!1&2&3] 0 {1 2} [0&1&!2&!3] 0 {0} [0&1&!2&3] 0 {0 2} [0&1&2&!3] 0 {0 1} [0&1&2&3] 0 {0 1 2} --END--"
"G((a) & (F(b)) & (F(c)) & (F(d)))","ltl3tela_d","ok",0,0.0187294,1,8,8,3,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: generalized-Buchi 3 Acceptance: 3 Inf(0)&Inf(1)&Inf(2) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&!1&!2&!3] 0 [0&!1&!2&3] 0 {2} [0&!1&2&!3] 0 {1} [0&!1&2&3] 0 {1 2} [0&1&!2&!3] 0 {0} [0&1&!2&3] 0 {0 2} [0&1&2&!3] 0 {0 1} [0&1&2&3] 0 {0 1 2} --END--"
"G((a) & (F(b)) & (F(c)) & (F(d)))","ltl2tgba_d","ok",0,0.00588634,1,8,8,3,1,0,0,0,"HOA: v1 name: ""Ga & G(Fb & Fc & Fd)"" States: 1 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: generalized-Buchi 3 Acceptance: 3 Inf(0)&Inf(1)&Inf(2) properties: trans-labels explicit-labels trans-acc deterministic stutter-invariant --BODY-- State: 0 [0&!1&!2&!3] 0 [0&!1&!2&3] 0 {2} [0&!1&2&!3] 0 {1} [0&!1&2&3] 0 {1 2} [0&1&!2&!3] 0 {0} [0&1&!2&3] 0 {0 2} [0&1&2&!3] 0 {0 1} [0&1&2&3] 0 {0 1 2} --END--"
"G((a) & (F(b)) & (F(c)) & (F(d)))","delag","ok",0,0.426482,1,8,8,4,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: generalized-Buchi 4 Acceptance: 4 Inf(0)&Inf(1)&Inf(2)&Inf(3) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&!1&!2&!3] 0 {3} [0&1&!2&!3] 0 {2 3} [0&!1&2&!3] 0 {1 3} [0&1&2&!3] 0 {1 2 3} [0&!1&!2&3] 0 {0 3} [0&1&!2&3] 0 {0 2 3} [0&!1&2&3] 0 {0 1 3} [0&1&2&3] 0 {0 1 2 3} --END--"
"G((a) & (F(b)) & (F(c)) & (F(d)))","rabinizer4","ok",0,0.605525,1,8,8,4,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: generalized-Rabin 1 3 Acceptance: 4 Fin(0) & (Inf(1)&Inf(2)&Inf(3)) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&1&2&3] 0 {1 2 3} [0&!1&2&!3] 0 {2} [0&1&!2&!3] 0 {1} [0&!1&!2&!3] 0 [0&1&2&!3] 0 {1 2} [0&1&!2&3] 0 {1 3} [0&!1&2&3] 0 {2 3} [0&!1&!2&3] 0 {3} --END--"
"G((F(a)) & (F(b)) & (F(c)) & (F(d)) & (F(e)))","ltl3tela_alt","ok",0,0.0608119,1,32,32,5,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 5 ""a"" ""b"" ""c"" ""d"" ""e"" acc-name: generalized-Buchi 5 Acceptance: 5 Inf(0)&Inf(1)&Inf(2)&Inf(3)&Inf(4) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1&!2&!3&!4] 0 [!0&!1&!2&!3&4] 0 {4} [!0&!1&!2&3&!4] 0 {3} [!0&!1&!2&3&4] 0 {3 4} [!0&!1&2&!3&!4] 0 {2} [!0&!1&2&!3&4] 0 {2 4} [!0&!1&2&3&!4] 0 {2 3} [!0&!1&2&3&4] 0 {2 3 4} [!0&1&!2&!3&!4] 0 {1} [!0&1&!2&!3&4] 0 {1 4} [!0&1&!2&3&!4] 0 {1 3} [!0&1&!2&3&4] 0 {1 3 4} [!0&1&2&!3&!4] 0 {1 2} [!0&1&2&!3&4] 0 {1 2 4} [!0&1&2&3&!4] 0 {1 2 3} [!0&1&2&3&4] 0 {1 2 3 4} [0&!1&!2&!3&!4] 0 {0} [0&!1&!2&!3&4] 0 {0 4} [0&!1&!2&3&!4] 0 {0 3} [0&!1&!2&3&4] 0 {0 3 4} [0&!1&2&!3&!4] 0 {0 2} [0&!1&2&!3&4] 0 {0 2 4} [0&!1&2&3&!4] 0 {0 2 3} [0&!1&2&3&4] 0 {0 2 3 4} [0&1&!2&!3&!4] 0 {0 1} [0&1&!2&!3&4] 0 {0 1 4} [0&1&!2&3&!4] 0 {0 1 3} [0&1&!2&3&4] 0 {0 1 3 4} [0&1&2&!3&!4] 0 {0 1 2} [0&1&2&!3&4] 0 {0 1 2 4} [0&1&2&3&!4] 0 {0 1 2 3} [0&1&2&3&4] 0 {0 1 2 3 4} --END--"
